time,ax,ay,az
0,-8.137470012244897,-0.0,-0.0
10,-8.137942877205907,-0.08775276451391531,-0.0
20,-8.137469132262252,-0.1755259252414683,-0.0
30,-8.136048172425514,-0.26330926523549336,-0.0
40,-8.133679503022785,-0.35109255211830404,-0.0
50,-8.130362740061933,-0.43886553927071814,-0.0
60,-8.126097610584257,-0.5266179670293964,-0.0
70,-8.120883953004213,-0.6143395638923633,-0.0
80,-8.114721717436208,-0.7020200477325832,-0.0
90,-8.107610966008117,-0.789649127019452,-0.0
100,-8.099551873161417,-0.877216502048065,-0.0
110,-8.090544725937777,-0.9647118661761227,-0.0
120,-8.080589924251864,-1.052124907068317,-0.0
130,-8.06968798115022,-1.1394453079480522,-0.0
140,-8.057839523056055,-1.22666274885635,-0.0
150,-8.045045289999724,-1.3137669079177592,-0.0
160,-8.031306135834795,-1.400747462613133,-0.0
170,-8.01662302843943,-1.4875940910590817,-0.0
180,-8.000997049903019,-1.5742964732939386,-0.0
190,-7.984429396697838,-1.6608442925700695,-0.0
200,-7.9669213798355845,-1.7472272366523334,-0.0
210,-7.948474425008586,-1.833434999122513,-0.0
220,-7.92909007271561,-1.919457280689536,-0.0
230,-7.908769978372028,-2.00528379050528,-0.0
240,-7.8875159124042264,-2.090904247485782,-0.0
250,-7.8653297603280965,-2.176308381637639,-0.0
260,-7.842213522811442,-2.261485935389397,-0.0
270,-7.818169315720206,-2.3464266649277374,-0.0
280,-7.793199370148278,-2.4311203415382217,-0.0
290,-7.767306032430855,-2.515556752950409,-0.0
300,-7.740491764141108,-2.5997257046871005,-0.0
310,-7.712759142070091,-2.683617021417509,-0.0
320,-7.684110858189754,-2.767220548314123,-0.0
330,-7.65454971959886,-2.8505261524130194,-0.0
340,-7.624078648451799,-2.933523723977425,-0.0
350,-7.592700681870062,-3.016203177864257,-0.0
360,-7.560418971836315,-3.0985544548934145,-0.0
370,-7.527236785070955,-3.180567523219594,-0.0
380,-7.493157502891015,-3.262232379706347,-0.0
390,-7.45818462105133,-3.343539051302173,-0.0
400,-7.422321749567866,-3.424477596418366,-0.0
410,-7.385572612523053,-3.5050381063083496,-0.0
420,-7.347941047853122,-3.5852107064482825,-0.0
430,-7.309431007117276,-3.664985557918635,-0.0
440,-7.270046555248628,-3.744352858786483,-0.0
450,-7.229791870286847,-3.8233028454882576,-0.0
460,-7.188671243092404,-3.901825794212674,-0.0
470,-7.146689077042361,-3.979912022283573,-0.0
480,-7.103849887707611,-4.057551889542386,-0.0
490,-7.060158302511531,-4.134735799729957,-0.0
500,-7.015619060369966,-4.211454201867443,-0.0
510,-6.970237011312524,-4.287697591636011,-0.0
520,-6.92401711608504,-4.363456512755003,-0.0
530,-6.876964445733304,-4.438721558358383,-0.0
540,-6.8290841811678735,-4.5134833723690555,-0.0
550,-6.780381612710021,-4.587732650870846,-0.0
